"Year,","Qtr1,","Qtr2,","Qtr3,",Qtr4
"1996,","89.13,","89.52,","89.88,",90.12
"1997,","89.19,","89.78,","90.03,",90.38
"1998,","90.27,","90.77,","91.85,",92.51
"1999,","92.21,","92.52,","93.62,",94.15
"2000,","94.69,","95.34,","96.04,",96.3
"2001,","94.83,","95.14,","95.86,",95.83
"2002,","95.73,","96.36,","96.89,",97.01
"2003,","96.66,","97.76,","97.83,",97.76
"2004,","98.17,","98.55,","99.31,",99.44
"2005,","99.43,","99.84,","100.32,",100.4
"2006,","99.88,","100.19,","100.75,",101.01
"2007,","100.84,","101.34,","101.94,",102.1
"2008,","101.56,","101.48,","101.13,",100.34
"2009,","98.93,","98.31,","97.67,",97.44
"2010,","96.53,","96.56,","96.51,",96.7
"2011,","95.88,","95.84,","95.79,",95.97
