,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60
10,QUINE,ALAN,C,10,2.0,0.591944444444,0.453055555556,41.93746168,37.5229920294,4.41446965052,33.1085223789,35.3157572042,-2.20723482526,2.20723482526,2.20723482526,0.0,2.20723482526,0.0,2.20723482526,6.62170447578,6.62170447578,0.0,6.62170447578,0.0,0.0,8.82893930104,4.41446965052,2.20723482526
11,STREET,BEN,C,10,7.0,0.856944444444,0.848611111111,55.3846153846,78.9525368249,-23.5679214403,42.4222585925,53.0278232406,-10.6055646481,4.71358428805,4.71358428805,0.0,4.71358428805,0.0,4.71358428805,7.07037643208,7.07037643208,0.0,7.07037643208,0.0,0.0,9.4271685761,2.35679214403,0.0
12,SCHENN,BRAYDEN,C,10,80.0,22.5241666667,16.93,59.4211458949,58.6532782044,0.76786769049,42.5871234495,43.4140578854,-0.826934435913,1.77200236267,1.71293561725,0.0590667454223,1.71293561725,0.0590667454223,1.71293561725,10.632014176,10.632014176,0.0,10.632014176,0.0,0.826934435913,6.02480803308,1.53573538098,1.47666863556
13,SISSONS,COLTON,C,10,34.0,5.64361111111,4.935,53.6980749747,48.632218845,5.06585612969,38.2978723404,31.4083080041,6.88956433637,3.64741641337,3.64741641337,0.0,3.64741641337,0.0,3.64741641337,6.88956433637,6.88956433637,0.0,6.88956433637,0.0,0.81053698075,3.85005065856,0.81053698075,1.01317122594
14,MILLER,J.T.,C,10,82.0,20.5475,17.8930555556,53.3726616471,54.4904137235,-1.11775207638,38.4506714275,38.7301094466,-0.279438019095,2.45905456804,2.45905456804,0.0,2.40316696422,0.055887603819,2.68260498331,9.50089264923,9.50089264923,0.0,9.50089264923,0.0,0.950089264923,5.47698517426,2.79438019095,2.0678413413
15,SCHROEDER,JORDAN,C,10,26.0,4.08027777778,3.96777777778,47.6337160459,58.471016522,-10.8373004761,33.0159619154,43.3492019042,-10.3332399888,3.27639316718,3.27639316718,0.0,3.27639316718,0.0,3.27639316718,3.78045365444,3.78045365444,0.0,3.78045365444,0.0,0.504060487258,7.05684682162,1.51218146178,0.252030243629
16,RICHARDS,MIKE,C,10,39.0,7.91388888889,6.23611111111,53.719376392,50.0311804009,3.68819599109,39.1269487751,36.0801781737,3.04677060134,1.92427616927,1.92427616927,0.0,1.92427616927,0.0,2.0846325167,6.09354120267,6.09354120267,0.0,6.09354120267,0.0,0.320712694878,6.25389755011,1.44320712695,1.12249443207
17,PRINCE,SHANE,C,10,62.0,11.6044444444,11.1225,56.6419420094,57.2712969207,-0.629354911216,41.1777927624,41.7172398292,-0.539447066757,1.25870982243,1.16880197797,0.0899078444594,1.16880197797,0.0899078444594,1.16880197797,2.06788042257,2.06788042257,0.0,2.06788042257,0.0,0.539447066757,7.01281186784,2.15778826703,1.61834120027
18,EHRHOFF,CHRISTIAN,D,10,48.0,12.3869444444,10.5772222222,57.2929250486,48.2168181102,9.07610693839,41.8824518094,36.8716844372,5.01076737224,3.11991176007,3.11991176007,0.0,3.02536897946,0.0945427806082,3.30899732129,3.4980828825,3.4980828825,0.0,3.4980828825,0.0,0.189085561216,5.57802405589,1.60722727034,0.378171122433
19,DUCLAIR,ANTHONY,L,10,81.0,19.3680555556,15.1986111111,55.662980901,56.3867312437,-0.723750342685,41.6485424472,42.9644521612,-1.31590971397,1.71068262816,1.71068262816,0.0,1.71068262816,0.0,1.77647811386,1.51329617107,1.51329617107,0.0,1.51329617107,0.0,0.789545828383,3.75034268482,1.05272777118,1.44750068537
