,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60,b_hit_shot_5_5v5/60,5v5_give/60_scaled,b_hit_shot_5_5v5/60_scaled
18,EHRHOFF,CHRISTIAN,D,10,48.0,12.3869444444,10.5772222222,57.2929250486,48.2168181102,9.07610693839,41.8824518094,36.8716844372,5.01076737224,3.11991176007,3.11991176007,0.0,3.02536897946,0.0945427806082,3.30899732129,3.4980828825,3.4980828825,0.0,3.4980828825,0.0,0.189085561216,5.57802405589,1.60722727034,0.378171122433,0.0,-0.25938334179,-0.899289614674
53,LOVEJOY,BEN,D,12,66.0,20.7536111111,17.215,55.823409817,52.918966018,2.90444379901,42.9276793494,39.5585245426,3.36915480685,4.18239907058,4.18239907058,0.0,4.18239907058,0.0,4.53093232646,8.19053151322,8.13244263723,0.0580888759802,8.07435376125,0.11617775196,0.232355503921,4.64711007842,0.871333139704,1.04559976764,0.0580888759802,-1.41706950059,-0.043897193147
84,EKHOLM,MATTIAS,D,14,82.0,27.6494444444,22.7191666667,53.3910428053,46.5245937718,6.86644903349,39.5260976415,34.3762608664,5.14983677512,3.65330301141,3.60928731247,0.0440156989326,3.60928731247,0.0440156989326,3.82936580714,2.55291053809,2.55291053809,0.0,2.50889483916,0.0440156989326,0.17606279573,3.78535010821,1.8926750541,0.924329677585,0.0440156989326,0.189674388886,-0.251132895167
85,HICKEY,THOMAS,D,14,62.0,17.9847222222,14.7380555556,52.9920651375,56.9953069341,-4.00324179656,39.3539024068,41.2537459713,-1.89984356447,4.47820268768,4.47820268768,0.0,4.47820268768,0.0,4.54605424355,3.66398401719,3.66398401719,0.0,3.66398401719,0.0,0.271406223495,2.98546845845,2.44265601146,0.949921782234,0.0,1.05488762463,-0.899289614674
106,SMID,LADISLAV,D,15,22.0,4.24805555556,4.02666666667,52.8973509934,60.0993377483,-7.20198675497,40.9768211921,40.4801324503,0.496688741722,7.69867549669,7.45033112583,0.248344370861,7.45033112583,0.248344370861,7.45033112583,9.43708609272,9.43708609272,0.0,9.43708609272,0.0,0.0,2.73178807947,0.993377483444,0.248344370861,0.248344370861,-1.22507306846,2.75772541925
107,DEL ZOTTO,MICHAEL,D,15,52.0,20.2911111111,15.7011111111,59.5499256953,56.0469888897,3.5029368056,42.8632085486,40.6977567051,2.16545184346,4.96780128795,4.90411152785,0.0636897601019,4.90411152785,0.0636897601019,5.47731936876,7.77015073243,7.77015073243,0.0,7.77015073243,0.0,0.127379520204,4.71304224754,1.65593376265,0.764277121223,0.0636897601019,-0.182759776466,0.0385790770625
108,NEMETH,PATRIK,D,15,38.0,9.89555555556,8.99666666667,58.7995553909,54.6869210819,4.112634309,44.9055205632,39.3479066321,5.55761393109,4.66839570211,4.66839570211,0.0,4.66839570211,0.0,4.66839570211,5.89107076695,5.89107076695,0.0,5.89107076695,0.0,0.0,3.77917747314,2.11189329381,0.444609114487,0.0,0.534541824707,-0.899289614674
126,ZADOROV,NIKITA,D,16,22.0,6.20861111111,5.59694444444,48.2406074743,57.531391136,-9.29078366172,35.7337833143,42.1658643109,-6.43208099658,2.68003374857,2.68003374857,0.0,2.68003374857,0.0,2.85870266514,8.57610799543,8.57610799543,0.0,8.57610799543,0.0,0.0,2.501364832,1.60802024914,0.893344582858,0.0,-0.258135851767,-0.899289614674
162,STAAL,MARC,D,18,77.0,25.255,21.6277777778,48.5486771128,58.5820703827,-10.03339327,36.1109684048,42.5841253532,-6.47315694837,4.25378885179,4.16131518109,0.092473670691,4.0688415104,0.184947341382,4.25378885179,2.68173645004,2.68173645004,0.0,2.68173645004,0.0,0.092473670691,2.63549961469,2.17313126124,0.786026200873,0.092473670691,0.630879523746,0.4624388706
182,BOUWMEESTER,JAY,D,19,72.0,27.7369444444,21.8019444444,54.2612152331,54.7198899181,-0.45867468498,40.8220469632,41.5559264592,-0.733879495967,3.71526494834,3.71526494834,0.0,3.71526494834,0.0,3.99046975932,2.66031317288,2.66031317288,0.0,2.66031317288,0.0,0.0917349369959,4.08220469632,1.19255418095,0.321072279486,0.0,-0.911734374404,-0.899289614674
