last,first,pos,num,comb,GP,TOI,TOI_5v5
ELLIOTT,BRIAN,G,1,BRIAN ELLIOTT,,,
CAMPBELL,JACK,G,1,JACK CAMPBELL,,,
ENROTH,JHONAS,G,1,JHONAS ENROTH,,,
HILLER,JONAS,G,1,JONAS HILLER,,,
SAROS,JUUSE,G,1,JUUSE SAROS,,,
KINKAID,KEITH,G,1,KEITH KINKAID,,,
BROSSOIT,LAURENT,G,1,LAURENT BROSSOIT,,,
LUONGO,ROBERTO,G,1,ROBERTO LUONGO,,,
VARLAMOV,SEMYON,G,1,SEMYON VARLAMOV,,,
GREISS,THOMAS,G,1,THOMAS GREISS,,,
QUINE,ALAN,C,10,ALAN QUINE,2.0,35:31,27:11
STREET,BEN,C,10,BEN STREET,7.0,51:25,50:55
SCHENN,BRAYDEN,C,10,BRAYDEN SCHENN,80.0,1351:27,1015:48
SISSONS,COLTON,C,10,COLTON SISSONS,34.0,338:37,296:06
MILLER,J.T.,C,10,J.T. MILLER,82.0,1232:51,1073:35
SCHROEDER,JORDAN,C,10,JORDAN SCHROEDER,26.0,244:49,238:04
RICHARDS,MIKE,C,10,MIKE RICHARDS,39.0,474:50,374:10
PRINCE,SHANE,C,10,SHANE PRINCE,62.0,696:16,667:21
EHRHOFF,CHRISTIAN,D,10,CHRISTIAN EHRHOFF,48.0,743:13,634:38
DUCLAIR,ANTHONY,L,10,ANTHONY DUCLAIR,81.0,1162:05,911:55
SCHNEIDER,COLE,L,10,COLE SCHNEIDER,2.0,25:15,23:44
ANGELIDIS,MIKE,L,10,MIKE ANGELIDIS,4.0,36:00,34:03
SHARP,PATRICK,L,10,PATRICK SHARP,76.0,1338:57,1047:32
PERRY,COREY,R,10,COREY PERRY,82.0,1452:02,1148:22
VERSTEEG,KRIS,R,10,KRIS VERSTEEG,77.0,1184:59,1014:00
YAKUPOV,NAIL,R,10,NAIL YAKUPOV,60.0,852:53,709:38
UPSHALL,SCOTTIE,R,10,SCOTTIE UPSHALL,70.0,766:20,668:12
DESJARDINS,ANDREW,C,11,ANDREW DESJARDINS,77.0,1030:25,866:03
KOPITAR,ANZE,C,11,ANZE KOPITAR,81.0,1690:12,1210:05
PIRRI,BRANDON,C,11,BRANDON PIRRI,61.0,885:05,731:50
BOYLE,BRIAN,C,11,BRIAN BOYLE,76.0,981:11,777:34
HODGSON,CODY,C,11,CODY HODGSON,39.0,418:35,409:43
HUBERDEAU,JONATHAN,C,11,JONATHAN HUBERDEAU,76.0,1378:42,1065:54
STAAL,JORDAN,C,11,JORDAN STAAL,82.0,1499:28,1116:07
PORTER,KEVIN,C,11,KEVIN PORTER,41.0,464:05,379:40
HANZAL,MARTIN,C,11,MARTIN HANZAL,64.0,1135:27,808:43
BACKLUND,MIKAEL,C,11,MIKAEL BACKLUND,82.0,1347:09,1017:56
HYMAN,ZACH,C,11,ZACH HYMAN,16.0,250:59,204:14
LERG,BRYAN,L,11,BRYAN LERG,6.0,53:15,49:51
MCKENZIE,CURTIS,L,11,CURTIS MCKENZIE,3.0,26:24,25:55
CALVERT,MATT,L,11,MATT CALVERT,73.0,1104:21,920:39
PARISE,ZACH,L,11,ZACH PARISE,70.0,1348:45,984:59
GALLAGHER,BRENDAN,R,11,BRENDAN GALLAGHER,53.0,878:19,689:09
HAYES,JIMMY,R,11,JIMMY HAYES,75.0,1036:59,928:08
GIONTA,STEPHEN,R,11,STEPHEN GIONTA,82.0,1001:10,830:22
STAAL,ERIC,C,12,ERIC STAAL,83.0,1540:02,1224:20
LEHTERA,JORI,C,12,JORI LEHTERA,79.0,1270:32,983:11
BAILEY,JOSH,C,12,JOSH BAILEY,81.0,1283:48,1083:39
FISHER,MIKE,C,12,MIKE FISHER,70.0,1201:25,862:08
MARLEAU,PATRICK,C,12,PATRICK MARLEAU,82.0,1560:17,1089:50
FAKSA,RADEK,C,12,RADEK FAKSA,45.0,556:35,477:48
BOUCHER,REID,C,12,REID BOUCHER,39.0,556:32,467:35
KLINKHAMMER,ROB,C,12,ROB KLINKHAMMER,14.0,131:46,125:35
LOVEJOY,BEN,D,12,BEN LOVEJOY,66.0,1245:13,1032:54
PAILLE,DANIEL,L,12,DANIEL PAILLE,12.0,136:54,114:35
RAFFL,MICHAEL,L,12,MICHAEL RAFFL,82.0,1172:33,1039:21
FLEISCHMANN,TOMAS,L,12,TOMAS FLEISCHMANN,76.0,1155:37,957:31
RICHARDSON,BRAD,R,12,BRAD RICHARDSON,82.0,1280:57,1057:43
GIONTA,BRIAN,R,12,BRIAN GIONTA,79.0,1400:52,1070:51
JONES,DAVID,R,12,DAVID JONES,75.0,931:30,883:03
STAFFORD,DREW,R,12,DREW STAFFORD,78.0,1393:21,1087:34
IGINLA,JAROME,R,12,JAROME IGINLA,82.0,1300:18,1008:59
GABORIK,MARIAN,R,12,MARIAN GABORIK,54.0,807:00,678:05
PAQUETTE,CEDRIC,C,13,CEDRIC PAQUETTE,56.0,713:24,601:10
JANMARK,MATTIAS,C,13,MATTIAS JANMARK,73.0,1034:33,918:37
BONINO,NICK,C,13,NICK BONINO,63.0,997:51,712:46
DATSYUK,PAVEL,C,13,PAVEL DATSYUK,66.0,1297:14,1004:49
TANEV,BRANDON,L,13,BRANDON TANEV,3.0,36:08,32:23
GAUDREAU,JOHNNY,L,13,JOHNNY GAUDREAU,79.0,1573:40,1194:53
CLIFFORD,KYLE,L,13,KYLE CLIFFORD,56.0,523:35,513:19
CAMMALLERI,MIKE,L,13,MIKE CAMMALLERI,42.0,808:16,611:21
PAUL,NICK,L,13,NICK PAUL,24.0,292:39,277:53
SEMIN,ALEXANDER,R,13,ALEXANDER SEMIN,15.0,185:02,150:49
ATKINSON,CAM,R,13,CAM ATKINSON,81.0,1441:39,1025:19
HAYES,KEVIN,R,13,KEVIN HAYES,79.0,1079:22,925:41
BROWN,MIKE,R,13,MIKE BROWN,58.0,452:49,441:23
HENRIQUE,ADAM,C,14,ADAM HENRIQUE,80.0,1584:50,1060:31
GREENING,COLIN,C,14,COLIN GREENING,31.0,436:59,354:34
NYQUIST,GUSTAV,C,14,GUSTAV NYQUIST,82.0,1244:15,957:04
VITALE,JOE,C,14,JOE VITALE,1.0,6:13,5:11
EBERLE,JORDAN,C,14,JORDAN EBERLE,69.0,1232:07,972:42
GERBE,NATHAN,C,14,NATHAN GERBE,47.0,632:23,522:52
COUTURIER,SEAN,C,14,SEAN COUTURIER,63.0,1171:51,858:36
PLEKANEC,TOMAS,C,14,TOMAS PLEKANEC,82.0,1517:41,1081:22
